,'caller_id','assigned_to','assignment_group','u_symptom','sys_updated_by','incident_state','subcategory','category','active','u_priority_confirmation','sys_created_by','opened_by','location','made_sla','knowledge','priority','complTime'
4,1464,1,49,503,763,7,71,48,1,1,153,202,45,2,2,3,130.733333333333
5,1464,225,65,354,606,8,114,32,2,1,60,122,64,2,2,3,149.333333333333
11,1464,225,17,354,222,5,114,32,2,1,60,122,64,2,2,3,149.333333333333
19,3539,199,65,354,105,9,28,11,2,1,1,202,106,2,2,3,140.833333333333
36,1201,1,65,354,469,8,28,11,2,1,172,36,219,2,2,3,129.866666666667
39,1201,1,16,354,135,9,28,11,2,1,172,36,219,2,2,3,129.866666666667
42,1916,215,65,460,156,8,68,46,2,1,156,16,45,2,2,3,201.833333333333
44,1916,1,21,460,585,2,68,46,2,1,156,16,45,2,2,3,201.833333333333
58,4470,124,7,460,652,8,128,37,2,1,156,16,9,2,2,3,176.366666666667
59,4470,124,27,205,59,8,251,37,2,1,156,16,9,2,2,3,176.366666666667
60,4470,124,27,205,716,5,251,37,2,1,156,16,9,2,2,3,176.366666666667
67,3543,145,65,353,229,8,13,59,2,1,172,36,45,2,2,3,171.95
70,3543,75,65,353,229,2,13,59,2,1,172,36,45,2,2,3,171.95
78,2866,169,65,472,156,8,64,59,2,1,156,16,176,2,2,3,585.483333333333
84,2866,169,22,472,31,9,64,59,2,1,156,16,176,2,2,3,585.483333333333
86,1785,158,17,353,229,8,64,59,2,1,172,36,61,2,2,3,146.8
89,1785,158,17,353,827,8,64,59,2,1,172,36,61,2,2,3,146.8
90,1785,158,17,353,827,5,64,59,2,1,172,36,61,2,2,3,146.8
91,1785,158,17,353,827,5,64,59,2,1,172,36,61,2,2,3,146.8
95,1589,1,65,353,336,2,166,46,2,1,87,124,172,2,2,3,151.633333333333
107,2034,1,16,353,135,9,123,34,2,1,172,36,219,2,2,3,128.583333333333
110,2396,1,65,353,229,8,248,24,2,1,1,36,9,2,2,3,121.55
114,2396,1,65,353,763,7,248,24,1,1,1,36,9,2,2,3,121.55
115,1536,1,65,409,763,8,184,58,2,1,1,36,106,2,2,3,123.466666666667
123,205,1,65,283,585,8,248,24,2,1,1,62,133,2,2,3,171.45
130,4002,1,16,463,336,8,64,15,2,1,156,16,219,2,2,4,128.35
139,5157,1,47,353,229,8,28,11,2,1,172,36,61,2,2,3,174.316666666667
146,1464,1,65,354,469,8,64,15,2,1,25,62,224,2,2,3,151.283333333333
148,1464,1,16,354,336,8,64,15,2,1,25,62,224,2,2,3,151.283333333333
152,5192,1,47,1,229,8,94,46,2,1,172,36,197,2,2,3,174.216666666667
157,2993,1,65,283,229,9,123,34,2,1,1,36,219,2,2,3,121.2
162,4045,213,51,90,652,2,91,37,2,1,172,36,9,2,2,4,198.15
164,4045,124,27,152,716,4,251,37,2,1,172,36,9,2,2,4,198.15
170,853,1,20,353,336,2,166,46,2,1,1,124,72,2,2,3,288.083333333333
180,2983,99,60,1,763,7,120,37,1,1,1,135,106,1,2,4,584.866666666667
186,3162,1,47,354,763,7,94,46,1,1,25,62,9,2,2,3,173.966666666667
